fold,idx,y_true,y_pred,y_proba
0,8,0,0,0.1991917896630232
0,11,1,1,0.6477164809628819
0,20,1,1,0.9943815007943315
0,22,1,0,0.42168325395601136
0,24,0,0,0.0015993812458794721
0,26,0,0,5.98590039397583e-05
0,27,0,0,0.10648610137075233
0,45,0,0,0.006723080955053061
0,47,1,1,0.870851465365605
0,48,0,0,0.0030419555093292618
0,50,0,0,0.0008248924235715013
0,53,0,1,0.9606270736426871
0,55,0,0,0.004324206613024977
0,56,0,0,0.4150903600199539
0,62,1,1,0.645542552782414
0,63,0,0,0.24195702482019707
0,64,0,0,0.4374439469138993
0,65,0,0,0.14357147015677457
0,69,0,0,0.0033275419673691876
0,75,0,0,0.04126237814022674
0,79,0,0,0.003171446233553762
0,88,0,0,0.08615604758823411
0,90,0,0,0.003531296321999533
0,104,0,0,0.07432292389811744
0,132,0,0,0.10796493104971248
0,150,0,1,0.9310043321210885
0,152,0,0,0.0004563874842942027
0,156,1,0,0.023251821417058963
0,159,0,0,0.0062846903158949195
0,160,0,0,0.005790899358457393
0,166,1,1,0.6171755126532754
0,169,0,0,0.011099413766840805
0,170,0,0,0.00010288987806309861
0,172,0,0,0.012968691849523407
0,173,1,1,0.9293231998682598
0,174,1,1,0.7437047125078458
0,179,0,1,0.5144865437083604
0,180,0,0,0.010231425124814545
0,181,0,0,0.20173314100105963
0,184,0,0,0.07637233476008126
0,189,0,0,0.0035073504932425998
0,205,0,0,0.0013069634542666852
0,213,0,0,0.006025006619933506
0,215,1,1,0.8676207857100067
0,223,0,0,0.014682987347258604
0,226,0,0,0.05042483437797657
0,229,0,0,0.039807941739367254
0,244,0,0,0.0011795856820642292
0,246,0,0,0.04802686856941601
0,249,0,0,0.264021655438139
0,253,0,0,0.0034811708422495783
0,263,0,1,0.9454129513472702
0,264,0,0,0.0017502520660723148
0,265,1,1,0.9495275928808542
0,272,0,0,0.00028628203613650244
0,277,0,1,0.5401403998981574
0,283,1,0,0.48002081299210736
0,285,0,1,0.8932018558370739
0,289,0,0,0.00647910221153245
0,290,0,0,0.018778798471100838
0,291,0,0,0.0039027922471043456
0,298,1,1,0.9447895692942969
0,304,0,0,0.0005793403220978549
0,315,0,0,0.0015990976477730401
0,317,0,0,0.000100616083217258
0,320,0,0,0.0008300513354729956
0,322,0,0,0.12602976922861545
0,324,1,1,0.854547509866359
0,326,1,1,0.7303884401201666
0,331,0,0,0.006075022844693021
0,334,1,0,0.19578465750819515
0,339,0,0,0.1796144534489458
0,340,0,0,0.0022429645215187085
0,343,0,0,0.001107704966421288
0,348,0,0,0.001036112699124604
0,350,0,0,0.0034970113364889157
0,354,0,0,0.0011622595374604985
0,355,0,0,0.02939271032291875
0,356,0,0,5.489045350255073e-05
0,358,0,1,0.8544735422482594
0,378,1,1,0.9012914650113263
0,379,0,0,0.00220435186233348
0,385,1,1,0.9783560507208335
0,388,0,0,0.00019375483800604116
